nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
24,41,8,0.009985447,0.003275871,0.003396749,0.000930786
24,41,16,0.009985447,0.003829002,0.004185438,0.001235962
24,41,24,0.009985447,0.003366947,0.003436089,0.001235962
24,41,32,0.009985447,0.004238129,0.004650116,0.001235962
24,42,8,0.009545326,0.00426054,0.004093885,0.000930786
24,42,16,0.009545326,0.003429651,0.003415346,0.001235962
24,42,24,0.009545326,0.0043118,0.003917456,0.001235962
24,42,32,0.009545326,0.003531456,0.003595591,0.001235962
24,43,8,0.010743618,0.003473759,0.00373745,0.000930786
24,43,16,0.010743618,0.00454998,0.004161835,0.001235962
24,43,24,0.010743618,0.003740549,0.003755331,0.001235962
24,43,32,0.010743618,0.00458765,0.004093647,0.001235962
24,44,8,0.009306669,0.004259586,0.0040555,0.000930786
24,44,16,0.009306669,0.004428148,0.004557371,0.001235962
24,44,24,0.009306669,0.004257679,0.004188061,0.001235962
24,44,32,0.009306669,0.003906965,0.004927397,0.001235962
24,45,8,0.009692907,0.004255056,0.004856348,0.000930786
24,45,16,0.009692907,0.004007578,0.004298687,0.001235962
24,45,24,0.009692907,0.004929543,0.00481081,0.001235962
24,45,32,0.009692907,0.004342079,0.004371881,0.001235962
24,46,8,0.012476921,0.004380703,0.005986691,0.000930786
24,46,16,0.012476921,0.005044937,0.004579782,0.001235962
24,46,24,0.012476921,0.005076647,0.00459075,0.001235962
24,46,32,0.012476921,0.004388332,0.005353689,0.001235962
24,47,8,0.009455442,0.00466609,0.005393744,0.000930786
24,47,16,0.009455442,0.004410028,0.004635096,0.001235962
24,47,24,0.009455442,0.005021811,0.004816532,0.001235962
24,47,32,0.009455442,0.004740238,0.005749941,0.001235962
24,48,8,0.010567427,0.004928112,0.005250216,0.000930786
24,48,16,0.010567427,0.004821301,0.005545378,0.001235962
24,48,24,0.010567427,0.005044699,0.005145073,0.001235962
24,48,32,0.010567427,0.005273581,0.00547266,0.001235962
32,2,8,0.001271009,9.61e-05,8.56e-05,0.000930786
32,2,16,0.001271009,8.73e-05,6.06e-05,0.001235962
32,2,24,0.001271009,6.63e-05,7.41e-05,0.001235962
32,2,32,0.001271009,6.46e-05,7.7e-05,0.001235962
32,3,8,0.001095772,8.65e-05,0.000113964,0.000930786
32,3,16,0.001095772,9.44e-05,0.000100613,0.001235962
32,3,24,0.001095772,0.000157118,0.000150442,0.001235962
32,3,32,0.001095772,0.000162125,0.000130653,0.001235962
32,4,8,0.001592875,0.000176907,0.000228167,0.000930786
32,4,16,0.001592875,0.000202417,0.00015378,0.001235962
32,4,24,0.001592875,0.000141144,0.000125647,0.001235962
32,4,32,0.001592875,0.000120401,0.000123262,0.001235962
32,5,8,0.001961708,0.000236034,0.000269413,0.000930786
32,5,16,0.001961708,0.000348568,0.000323534,0.001235962
32,5,24,0.001961708,0.000316858,0.000333309,0.001235962
32,5,32,0.001961708,0.000341654,0.000313759,0.001235962
32,6,8,0.004039049,0.000282288,0.000267267,0.000930786
32,6,16,0.004039049,0.000200272,0.000225782,0.001235962
32,6,24,0.004039049,0.000225306,0.000272036,0.001235962
32,6,32,0.004039049,0.000287294,0.000268936,0.001235962
32,7,8,0.003601789,0.000291586,0.000282049,0.000930786
32,7,16,0.003601789,0.000246286,0.00026536,0.001235962
32,7,24,0.003601789,0.000296116,0.000421047,0.001235962
32,7,32,0.003601789,0.000397444,0.000551462,0.001235962
32,8,8,0.004819632,0.000253677,0.000260592,0.000930786
32,8,16,0.004819632,0.000275135,0.00026536,0.001235962
32,8,24,0.004819632,0.000310183,0.00033927,0.001235962
32,8,32,0.004819632,0.000302553,0.000306129,0.001235962
32,9,8,0.004062176,0.000297546,0.000303984,0.000930786
32,9,16,0.004062176,0.000319004,0.000310421,0.001235962
32,9,24,0.004062176,0.000295639,0.000309467,0.001235962
32,9,32,0.004062176,0.000301123,0.000356197,0.001235962
32,10,8,0.005711794,0.000474453,0.000527382,0.000930786
