_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
755,CT#755,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2006.0,Aug,8/8/2006,Thailand,,,,,,,Worker
756,CT#756,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1995.0,Dec,8/12/1995,Thailand,Chiang Mai University,18.81,98.95,,,Wasan,Queen
757,CT#757,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2004.0,Dec,7/12/2004,Thailand,,18.63,98.9,,,Paweena,Worker
758,CT#758,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Jan,10/1/2002,Thailand,Doi Inthanon,18.59,98.49,,,Sak,Queen
759,CT#759,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2004.0,Jan,14/1/2004,Thailand,Doi Inthanon,18.59,98.49,,,Paweena,Queen
760,CT#760,ACMU,,Megabombus,Bombus montivagus,2002.0,Aug,14/8/2002,Thailand,Wat Pha Lat,18.8,98.93,,,Watchrawalee,Worker
761,CT#761,ACMU,,Megabombus,Bombus montivagus,2002.0,Jul,2/7/2002,Thailand,Mae Jo,18.9,99.01,,,,Worker
762,CT#762,ACMU,,Megabombus,Bombus montivagus,2002.0,Aug,29/8/2002,Thailand,,18.74,98.96,,,Chopet,Worker
763,CT#763,ACMU,,Megabombus,Bombus montivagus,1981.0,Sep,14/9/1981,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Prapaporn,Worker
764,CT#764,ACMU,,Melanobombus,Bombus eximius,1993.0,May,1/5/1993,Thailand,Doi Inthanon,18.59,98.49,,,,Queen
765,CT#765,ACMU,,Melanobombus,Bombus eximius,2005.0,Jun,20/6/2005,Thailand,,19.91,99.83,,,Kwanruen,Worker
766,CT#766,ACMU,,Melanobombus,Bombus eximius,2002.0,Dec,29/12/2002,Thailand,,15.38,100.02,,,Chittrawadee,Worker
767,CT#767,ACMU,,Melanobombus,Bombus eximius,2002.0,Oct,10/10/2002,Thailand,,19.91,99.83,,,lanthom,Male
768,CT#768,ACMU,,Melanobombus,Bombus eximius,2003.0,Jan,9/1/2003,Thailand,,18.94,98.62,,,,Male
769,CT#769,ACMU,,Melanobombus,Bombus eximius,2002.0,Oct,14/10/2002,Thailand,,18.81,98.95,,,Natthapong,Male
770,CT#770,ACMU,,Melanobombus,Bombus eximius,2005.0,Jul,28/7/2005,Thailand,,18.83874608,98.896522,,,Waralak,Worker
771,CT#771,ACMU,,Melanobombus,Bombus eximius,2003.0,Jan,12/1/2003,Thailand,Chiang Mai University,18.81,98.95,,,Thanakit,Male
772,CT#772,ACMU,,Melanobombus,Bombus eximius,2005.0,Aug,17/8/2005,Thailand,Wat Pha Lat,18.8,98.93,,,Munrapat,Male
